Question,Answer,Reference,Method,Disease
A patient with a mother and sister both diagnosed with breast cancer asks if her family history is relevant when considering genetic testing for BRCA mutations. Should she be informed that family history is a significant factor?,Yes,Family history of breast cancer is often considered a significant factor in recommending genetic testing for BRCA mutations.,Ours,breast cancer
A patient with no family history of breast cancer asks if family history matters when her physician is deciding whether to recommend BRCA genetic testing. Is family history considered significant in this decision?,Yes,Family history of breast cancer is often considered a significant factor in recommending genetic testing for BRCA mutations.,Ours,breast cancer
A patient whose maternal aunt had breast cancer inquires whether family history of breast cancer is taken into account when determining if she should undergo BRCA mutation testing. Is this a recognized consideration?,Yes,Family history of breast cancer is often considered a significant factor in recommending genetic testing for BRCA mutations.,Ours,breast cancer
A patient recently diagnosed with breast cancer has multiple relatives with breast cancer and asks if this family pattern is irrelevant to recommendations for BRCA genetic testing. Is the family history irrelevant?,No,Family history of breast cancer is often considered a significant factor in recommending genetic testing for BRCA mutations.,Ours,breast cancer
A patient is a 35-year-old woman who presents with a palpable breast lump. Should further diagnostic testing be performed?,Yes,"Given her age and the presence of a lump, further diagnostic testing such as a mammogram or biopsy is typically warranted to rule out cancer.",Ours,breast cancer
A patient presents with a breast lump. Is a mammogram an appropriate diagnostic test to consider for this patient?,Yes,"Given her age and the presence of a lump, further diagnostic testing such as a mammogram or biopsy is typically warranted to rule out cancer.",Ours,breast cancer
A patient presents with a palpable breast lump. Is biopsy an appropriate diagnostic test to consider for ruling out cancer?,Yes,"Given her age and the presence of a lump, further diagnostic testing such as a mammogram or biopsy is typically warranted to rule out cancer.",Ours,breast cancer
A patient with a breast lump asks if diagnostic testing can be deferred. Can further diagnostic testing be safely avoided in this patient?,No,"Given her age and the presence of a lump, further diagnostic testing such as a mammogram or biopsy is typically warranted to rule out cancer.",Ours,breast cancer
A patient presents with stage 2 breast cancer and asks if she can safely delay treatment for 6 months. Should you advise against this delay?,Yes,Patients with stage 2 breast cancer are generally recommended to undergo treatment as delaying could allow the cancer to progress.,Ours,breast cancer
A patient with newly diagnosed stage 2 breast cancer asks whether immediate treatment is recommended. Is immediate treatment the standard recommendation?,Yes,Patients with stage 2 breast cancer are generally recommended to undergo treatment as delaying could allow the cancer to progress.,Ours,breast cancer
A patient with stage 2 breast cancer wants to postpone treatment to complete a work project. Is there evidence that delaying treatment could worsen her prognosis?,Yes,Patients with stage 2 breast cancer are generally recommended to undergo treatment as delaying could allow the cancer to progress.,Ours,breast cancer
A patient diagnosed with stage 2 breast cancer asks if watchful waiting is an acceptable alternative to immediate treatment. Would you recommend watchful waiting?,No,Patients with stage 2 breast cancer are generally recommended to undergo treatment as delaying could allow the cancer to progress.,Ours,breast cancer
A patient is a 40-year-old woman with no family history of breast cancer but has other risk factors. Should routine mammography screening be initiated?,Yes,"Current guidelines suggest starting routine mammograms at age 40, especially if other risk factors might be present despite no family history.",Ours,breast cancer
A patient is a 39-year-old woman with multiple risk factors for breast cancer but no family history. Do current guidelines recommend starting routine mammography at her current age?,No,"Current guidelines suggest starting routine mammograms at age 40, especially if other risk factors might be present despite no family history.",Ours,breast cancer
A patient is a 40-year-old woman with no family history of breast cancer and no other risk factors. Can routine mammography screening be considered according to current guidelines?,Yes,"Current guidelines suggest starting routine mammograms at age 40, especially if other risk factors might be present despite no family history.",Ours,breast cancer
A patient is a 40-year-old woman with other breast cancer risk factors. Is the absence of family history a contraindication to starting routine mammography screening?,No,"Current guidelines suggest starting routine mammograms at age 40, especially if other risk factors might be present despite no family history.",Ours,breast cancer
A patient with dense breast tissue on mammography asks if ultrasound screening could help detect tumors that might be missed. Should she be informed that additional ultrasound screening may be beneficial?,Yes,"Dense breast tissue can mask tumors in mammograms, making additional ultrasound screenings beneficial.",Ours,breast cancer
A patient with fatty breast tissue composition asks if she needs additional ultrasound screening beyond mammography to detect breast cancer. Is this additional screening indicated based on her breast density?,No,"Dense breast tissue can mask tumors in mammograms, making additional ultrasound screenings beneficial.",Ours,breast cancer
A patient is found to have dense breast tissue on her screening mammogram. Should she be counseled that her breast density may reduce the ability of mammography alone to detect tumors?,Yes,"Dense breast tissue can mask tumors in mammograms, making additional ultrasound screenings beneficial.",Ours,breast cancer
A patient with dense breasts who had a normal mammogram asks if she can skip ultrasound screening since her mammogram showed no abnormalities. Is mammography alone sufficient for complete tumor detection in her case?,No,"Dense breast tissue can mask tumors in mammograms, making additional ultrasound screenings beneficial.",Ours,breast cancer
