Question,Answer,Reference,variant
"A patient named Susan, a 45-year-old Caucasian female, comes in with a BMI of 32 and a history of type 2 diabetes. She is struggling to manage her diet due to her demanding job as a nurse. Is Susan a candidate for a GLP-1 receptor agonist to assist with weight loss?",Yes,**Type 2 diabetes and BMI over 30** is a common reason for recommending GLP-1 receptor agonists.,complex_context
"A 60-year-old African American male named John, with a BMI of 35 and a history of hypertension, presents for a routine check-up. He is on Medicare. Should John be advised solely to focus on dietary changes without considering pharmacotherapy?",No,**Patients with a BMI over 30 and comorbid conditions like hypertension** often benefit from a combination of dietary changes and pharmacotherapy.,complex_context
"Maria, a 50-year-old Hispanic woman with a BMI of 38, presents with obstructive sleep apnea and osteoarthritis. She has limited access to healthcare due to being uninsured. Should Maria be referred for bariatric surgery?",Yes,**Patients with a BMI over 35 and significant comorbid conditions** such as obstructive sleep apnea and osteoarthritis are candidates for bariatric surgery.,complex_context
"A 30-year-old Asian male named Kevin presents with a BMI of 28, prediabetes, and a family history of obesity. He works in a sedentary job with irregular hours. Should Kevin be started on medication for weight loss?",No,**BMI below 30** generally does not warrant weight loss medications unless other significant factors are present.,complex_context
"A patient is a 45-year-old African American woman with a BMI of 35, hypertension, and type 2 diabetes. She has Medicare insurance and works as a school teacher. Recently, she reports shortness of breath and frequent fatigue. Could her obesity be contributing to her symptoms?",Yes,**Preparing to download ...**,complex_context
A patient is a 34-year-old Hispanic male with a BMI of 40. He works a desk job with limited physical activity and does not have health insurance. He experiences knee pain and difficulty with mobility. Is his obesity likely exacerbating his knee pain?,Yes,**Preparing to download ...**,complex_context
"A 58-year-old Caucasian woman with a BMI of 37, hypertension, and chronic obstructive pulmonary disease (COPD) comes in for a follow-up. She is on Medicaid and reports progressive difficulty in managing her COPD symptoms. Is it likely that her obesity is unrelated to her worsening COPD symptoms?",No,**Preparing to download ...**,complex_context
A 29-year-old Asian-American male with a BMI of 31 presents with recurrent sleep apnea. He has employer-based insurance and works night shifts at a manufacturing plant. His sleep apnea symptoms have not improved with CPAP therapy alone. Could his obesity be a factor in the persistence of his sleep apnea?,Yes,**Preparing to download ...**,complex_context
"A patient is a 50-year-old Caucasian male with a BMI of 29 and a history of cardiovascular disease. He has private insurance and reports compliance with his medication regimen. Recently, he feels more fatigued and presents with mild shortness of breath. Should his mild obesity be considered the primary cause of his new symptoms?",No,**Preparing to download ...**,complex_context
A patient with obesity and type 2 diabetes presents with difficulty managing blood glucose levels despite medication compliance. Has this patient been able to follow the recommended dietary guidelines provided by the nutritionist?,No,[HHS Vulnerability Disclosure](https://www.hhs.gov/vulnerability-disclosure-policy/index.html),complex_context
A 45-year-old African American woman with obesity and hypertension is experiencing frequent headaches. Could her headaches be attributed to her uncontrolled blood pressure?,Yes,[HHS Vulnerability Disclosure](https://www.hhs.gov/vulnerability-disclosure-policy/index.html),complex_context
"A 60-year-old Hispanic man with obesity, who is on Medicaid, reports increased difficulty in performing daily activities. Could this be due to undiagnosed osteoarthritis?",Yes,[HHS Vulnerability Disclosure](https://www.hhs.gov/vulnerability-disclosure-policy/index.html),complex_context
A patient with obesity is struggling with access to healthcare services due to lack of insurance. Has this affected their ability to receive regular follow-up for weight management?,Yes,[HHS Vulnerability Disclosure](https://www.hhs.gov/vulnerability-disclosure-policy/index.html),complex_context
